topNumberedFeatures,class label,precision,recall,f1-score,accuracy,class label,precision,recall,f1-score,accuracy
205,0.0,0.9950525664811379,0.9739709443099274,0.9843988987457938,0.974764967837704,1.0,0.8935643564356436,0.978319783197832,0.9340232858990944,0.974764967837704,
210,0.0,0.9950647748303516,0.9763922518159807,0.9856400855484265,0.9767441860465116,1.0,0.9025,0.978319783197832,0.9388816644993497,0.9767441860465116,
215,0.0,0.9938385705483672,0.9763922518159807,0.9850381679389313,0.9757545769421079,1.0,0.9020100502512562,0.9728997289972899,0.9361147327249021,0.9757545769421079,
220,0.0,0.993823347745522,0.9739709443099274,0.9837970039743199,0.9737753587333003,1.0,0.8930348258706468,0.9728997289972899,0.9312581063553826,0.9737753587333003,
225,0.0,0.9944410129709698,0.9745762711864406,0.9844084377866096,0.974764967837704,1.0,0.8955223880597015,0.975609756097561,0.933852140077821,0.974764967837704,
230,0.0,0.9925971622455274,0.9739709443099274,0.9831958447907119,0.9727857496288966,1.0,0.8925,0.967479674796748,0.928478543563069,0.9727857496288966,
235,0.0,0.9932349323493235,0.9776029055690073,0.9853569249542404,0.9762493814943097,1.0,0.9063291139240506,0.9701897018970189,0.93717277486911,0.9762493814943097,
240,0.0,0.9926153846153846,0.9763922518159807,0.9844369850472994,0.974764967837704,1.0,0.9015151515151515,0.967479674796748,0.9333333333333333,0.974764967837704,
245,0.0,0.9925971622455274,0.9739709443099274,0.9831958447907119,0.9727857496288966,1.0,0.8925,0.967479674796748,0.928478543563069,0.9727857496288966,
250,0.0,0.9926108374384236,0.9757869249394673,0.9841269841269841,0.9742701632855022,1.0,0.8992443324937027,0.967479674796748,0.9321148825065274,0.9742701632855022,
255,0.0,0.9932098765432099,0.9739709443099274,0.9834963325183373,0.9732805541810985,1.0,0.8927680798004988,0.9701897018970189,0.92987012987013,0.9732805541810985,
260,0.0,0.9932098765432099,0.9739709443099274,0.9834963325183373,0.9732805541810985,1.0,0.8927680798004988,0.9701897018970189,0.92987012987013,0.9732805541810985,
265,0.0,0.9919504643962849,0.9697336561743342,0.9807162534435262,0.9688273132112816,1.0,0.8768472906403941,0.964769647696477,0.9187096774193549,0.9688273132112816,
270,0.0,0.9913473423980222,0.9709443099273608,0.981039755351682,0.9693221177634834,1.0,0.8808933002481389,0.962059620596206,0.9196891191709844,0.9693221177634834,
275,0.0,0.9912280701754386,0.9576271186440678,0.9741379310344828,0.9584364176150421,1.0,0.8352941176470589,0.962059620596206,0.8942065491183879,0.9584364176150421,
280,0.0,0.9912881144990666,0.9642857142857143,0.9776004909481436,0.9638792676892627,1.0,0.857487922705314,0.962059620596206,0.9067688378033205,0.9638792676892627,
285,0.0,0.991890205864005,0.9624697336561744,0.9769585253456222,0.962889658584859,1.0,0.8516746411483254,0.964769647696477,0.9047013977128335,0.962889658584859,
290,0.0,0.9906483790523691,0.961864406779661,0.9760442260442261,0.9614052449282533,1.0,0.8489208633093526,0.959349593495935,0.9007633587786259,0.9614052449282533,
295,0.0,0.993142144638404,0.9642857142857143,0.9785012285012286,0.9653636813458684,1.0,0.8585131894484412,0.9701897018970189,0.9109414758269719,0.9653636813458684,
300,0.0,0.9919154228855721,0.965496368038741,0.9785276073619632,0.9653636813458684,1.0,0.8619854721549637,0.964769647696477,0.9104859335038363,0.9653636813458684,
305,0.0,0.9943538268506901,0.9594430992736077,0.9765865680837955,0.9623948540326571,1.0,0.8430913348946136,0.975609756097561,0.9045226130653267,0.9623948540326571,
310,0.0,0.9894146948941469,0.961864406779661,0.9754450583179863,0.9604156358238496,1.0,0.8481927710843373,0.9539295392953929,0.8979591836734694,0.9604156358238496,
315,0.0,0.9918392969240427,0.9564164648910412,0.9738058551617873,0.9579416130628402,1.0,0.8317757009345794,0.964769647696477,0.8933500627352572,0.9579416130628402,
320,0.0,0.9912005028284098,0.9546004842615012,0.9725562750539625,0.9559623948540327,1.0,0.8255813953488372,0.962059620596206,0.8886107634543179,0.9559623948540327,
325,0.0,0.9918495297805643,0.9576271186440678,0.9744379427163536,0.9589312221672439,1.0,0.8356807511737089,0.964769647696477,0.8955974842767295,0.9589312221672439,
330,0.0,0.99,0.9588377723970944,0.974169741697417,0.9584364176150421,1.0,0.838479809976247,0.9566395663956639,0.8936708860759494,0.9584364176150421,
335,0.0,0.9893283113622097,0.9539951573849879,0.9713405238828968,0.9539831766452251,1.0,0.822429906542056,0.9539295392953929,0.8833124215809285,0.9539831766452251,
340,0.0,0.9905897114178168,0.9558111380145279,0.9728897104128158,0.9564571994062345,1.0,0.8290398126463701,0.959349593495935,0.8894472361809045,0.9564571994062345,
