Table 1,degree,source,Category,Frequency,target,Table 2, degree -ranage,source,Diversity,frequency,degree,source,target,degree,source,target
107,0.33451417,[Dyspnoea],,,[Death],,,,,,0.643916914,[Multi-organ_failure  Dyspnoea],[Death],0.743055556,[Cardiac_failure  Deep_vein_thrombosis  Atrial_fibrillation],[Death]
108,0.333333333,[Angina_pectoris],,,[Death],,,,,,0.64265928,[Femur_fracture  Sepsis],[Death],0.742574257,[Cardiac_failure  Respiratory_failure  Anaemia],[Death]
109,0.33295325,[Diarrhoea],,,[Death],,,,,,0.642424242,[Cholecystitis  Renal_failure],[Death],0.742268041,[Cardiac_failure  Back_pain  Dyspnoea],[Death]
110,0.331993569,[Chronic_obstructive_pulmonary_disease],,,[Death],,,,,,0.641943734,[Septic_shock  Renal_failure],[Death],0.74204947,[Pleural_effusion  Bronchitis  Myocardial_infarction],[Death]
111,0.33102253,[Pulmonary_embolism],,,[Death],,,,,,0.641909814,[Septic_shock  Myocardial_infarction],[Death],0.74204947,[Pleural_effusion  Myocardial_infarction  Gastroenteritis],[Death]
112,0.327403846,[Anaemia],,,[Death],,,,,,0.641723356,[Cardiac_failure  Chest_pain],[Death],0.741935484,[Cardiac_failure  Acute_myocardial_infarction  Atrial_fibrillation],[Death]
113,0.326267281,[Coronary_artery_disease],,,[Death],,,,,,0.641399417,[Fall  Respiratory_failure],[Death],0.741830065,[Cardiac_failure  Chest_pain  Urinary_tract_infection],[Death]
114,0.326144135,[Atrial_fibrillation],,,[Death],,,,,,0.641337386,[Colon_cancer  Atrial_fibrillation],[Death],0.741610738,[Cardiac_arrest  Respiratory_failure  Myocardial_infarction],[Death]
115,0.326055313,[Dyspnea],,,[Death],,,,,,0.641242938,[Fall  Hypotension],[Death],0.741258741,[Acute_myocardial_infarction  Respiratory_failure  Dyspnoea],[Death]
116,0.325601375,[Headache],,,[Death],,,,,,0.640949555,[Angina_unstable  Anaemia],[Death],0.741100324,[Cardiac_failure  Respiratory_failure  Sepsis],[Death]
117,0.323399558,[Non-cardiac_chest_pain],,,[Death],,,,,,0.640243902,[Constipation  Respiratory_failure],[Death],0.740350877,[Gastrointestinal_haemorrhage  Hypertension  Sepsis],[Death]
118,0.323064113,[Cholelithiasis],,,[Death],,,,,,0.640167364,[Cardiac_failure  Pulmonary_embolism],[Death],0.740350877,[Fall  Cerebrovascular_accident  Sepsis],[Death]
119,0.319253438,[Syncope],,,[Death],,,,,,0.640117994,[Respiratory_tract_infection  Anaemia],[Death],0.74,[Cardiac_failure  Atrial_fibrillation  Dehydration],[Death]
120,0.318303811,[Urinary_tract_infection],,,[Death],,,,,,0.64010989,[Cardiac_failure  Hypertension],[Death],0.73964497,[Gastrointestinal_haemorrhage  Cerebrovascular_accident  Sepsis],[Death]
121,0.316793893,[Nausea],,,[Death],,,,,,0.64,[Renal_failure  Angina_pectoris],[Death],0.73943662,[Cardiac_failure  Acute_myocardial_infarction  Anaemia],[Death]
122,0.316086548,[Osteoarthritis],,,[Death],,,,,,0.63943662,[Septic_shock  Chest_pain],[Death],0.73943662,[Cardiac_arrest  Pulmonary_embolism  Cellulitis],[Death]
123,0.31431706,[Myocardial_infarction],,,[Death],,,,,,0.63902439,[Cardiac_failure  Acute_myocardial_infarction],[Death],0.738993711,[Cardiac_failure  Renal_failure_acute  Syncope],[Death]
124,0.314243759,[Intervertebral_disc_protrusion],,,[Death],,,,,,0.638961039,[Cardiac_arrest  Pleural_effusion],[Death],0.738831615,[Septic_shock  Dyspnoea  Syncope],[Death]
125,0.311440678,[Dehydration],,,[Death],,,,,,0.638820639,[Cardiac_arrest  Cellulitis],[Death],0.738255034,[Cardiac_failure  Abdominal_pain  Syncope],[Death]
126,0.310209424,[Breast_cancer],,,[Death],,,,,,0.638497653,[Gastrointestinal_haemorrhage  Gastroenteritis],[Death],0.738255034,[Respiratory_failure  Renal_failure  Cerebrovascular_accident],[Death]
127,0.30982659,[Chest_pain],,,[Death],,,,,,0.638483965,[Epistaxis  Syncope],[Death],0.738095238,[Cardiac_failure  Myocardial_infarction  Pyrexia],[Death]
128,0.308366534,[Depression],,,[Death],,,,,,0.637883008,[Pneumothorax  Pleural_effusion],[Death],0.738095238,[Cardiac_failure  Renal_failure  Pulmonary_embolism],[Death]
129,0.305860113,[Vomiting],,,[Death],,,,,,0.637339056,[Gastrointestinal_haemorrhage  Cerebrovascular_accident],[Death],0.737762238,[Cardiac_failure  Renal_failure  Myocardial_infarction],[Death]
130,0.295681063,[Neutropenia],,,[Death],,,,,,0.637019231,[Constipation  Hypertension],[Death],0.737762238,[Cardiac_arrest  Gastroenteritis  Dyspnoea],[Death]
131,0.292903875,[Abdominal_pain],,,[Death],,,,,,0.636761488,[Cardiac_failure  Syncope],[Death],0.737179487,[Cardiac_arrest  Cerebrovascular_accident  Anaemia],[Death]
132,0.289264414,[Cellulitis],,,[Death],,,,,,0.636612022,[Hypokalaemia  Syncope],[Death],0.737024221,[Cardiac_arrest  Cerebrovascular_accident  Urinary_tract_infection],[Death]
133,0.283976732,[Gastroenteritis],,,[Death],,,,,,0.636363636,[Cardio-respiratory_arrest  Anaemia],[Death],0.736507937,[Cardiac_failure  Renal_failure_acute  Pulmonary_embolism],[Death]
