Index,Confidence,Triple disease,Frequency (arms#),Target,type
107,0.743055556,[Cardiac_failure  Deep_vein_thrombosis  Atrial_fibrillation],288,[Death],undirected
108,0.742574257,[Cardiac_failure  Respiratory_failure  Anaemia],303,[Death],undirected
109,0.742268041,[Cardiac_failure  Back_pain  Dyspnoea],291,[Death],undirected
110,0.74204947,[Pleural_effusion  Bronchitis  Myocardial_infarction],283,[Death],undirected
111,0.74204947,[Pleural_effusion  Myocardial_infarction  Gastroenteritis],283,[Death],undirected
112,0.741935484,[Cardiac_failure  Acute_myocardial_infarction  Atrial_fibrillation],310,[Death],undirected
113,0.741830065,[Cardiac_failure  Chest_pain  Urinary_tract_infection],306,[Death],undirected
114,0.741610738,[Cardiac_arrest  Respiratory_failure  Myocardial_infarction],298,[Death],undirected
115,0.741258741,[Acute_myocardial_infarction  Respiratory_failure  Dyspnoea],286,[Death],undirected
116,0.741100324,[Cardiac_failure  Respiratory_failure  Sepsis],309,[Death],undirected
117,0.740350877,[Gastrointestinal_haemorrhage  Hypertension  Sepsis],285,[Death],undirected
118,0.740350877,[Fall  Cerebrovascular_accident  Sepsis],285,[Death],undirected
119,0.74,[Cardiac_failure  Atrial_fibrillation  Dehydration],300,[Death],undirected
120,0.73964497,[Gastrointestinal_haemorrhage  Cerebrovascular_accident  Sepsis],338,[Death],undirected
121,0.73943662,[Cardiac_failure  Acute_myocardial_infarction  Anaemia],284,[Death],undirected
122,0.73943662,[Cardiac_arrest  Pulmonary_embolism  Cellulitis],284,[Death],undirected
123,0.738993711,[Cardiac_failure  Renal_failure_acute  Syncope],318,[Death],undirected
124,0.738831615,[Septic_shock  Dyspnoea  Syncope],291,[Death],undirected
125,0.738255034,[Cardiac_failure  Abdominal_pain  Syncope],298,[Death],undirected
126,0.738255034,[Respiratory_failure  Renal_failure  Cerebrovascular_accident],298,[Death],undirected
127,0.738095238,[Cardiac_failure  Myocardial_infarction  Pyrexia],294,[Death],undirected
128,0.738095238,[Cardiac_failure  Renal_failure  Pulmonary_embolism],294,[Death],undirected
129,0.737762238,[Cardiac_failure  Renal_failure  Myocardial_infarction],286,[Death],undirected
130,0.737762238,[Cardiac_arrest  Gastroenteritis  Dyspnoea],286,[Death],undirected
131,0.737179487,[Cardiac_arrest  Cerebrovascular_accident  Anaemia],312,[Death],undirected
132,0.737024221,[Cardiac_arrest  Cerebrovascular_accident  Urinary_tract_infection],289,[Death],undirected
133,0.736507937,[Cardiac_failure  Renal_failure_acute  Pulmonary_embolism],315,[Death],undirected
134,0.736486486,[Respiratory_failure  Chronic_obstructive_pulmonary_disease  Anaemia],296,[Death],undirected
135,0.736486486,[Cardiac_failure  Bronchitis  Urinary_tract_infection],296,[Death],undirected
136,0.73630137,[Cardiac_arrest  Cellulitis  Syncope],292,[Death],undirected
137,0.736111111,[Cardiac_failure  Gastroenteritis  Atrial_fibrillation],288,[Death],undirected
